Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belarus,0.0136152,0.011926,0.0117549,0.0115885,0.011982,0.0119226,0.0107549,0.0116612,0.0156208,0.0187022,0.02216,0.0172845,0.0224275,0.0305796,0.0213318,0.0294124,0.0334291,0.030979,0.0299726,0.0323366,0.0350097,0.0339307,0.0473313,0.0974157,0.192785,0.25241,0.24434,0.257389,0.305225,0.29526,0.345556,0.405069,0.726156,0.596018,0.722765,0.943361,1.10641,1.14747,1.02733,0.968826,,,,,,,,,,,,,,,,,,,,
Belgium,0.182991,0.208785,0.15831,0.145643,0.125093,0.12665,0.0703221,0.0888573,0.146857,0.182336,0.148328,0.0876031,0.253549,0.249507,0.276741,0.302452,0.366125,0.207976,0.201437,0.202018,0.177566,0.236841,0.286778,0.269244,0.247203,0.264991,0.248761,0.282797,0.23757,0.264852,0.293775,0.234434,0.240664,0.304831,0.348408,0.418347,0.434005,0.46486,0.473226,0.588985,0.843973,1.1779,1.37813,1.71824,2.49416,3.12545,3.98319,4.99636,5.27973,5.93773,6.55067,6.2645,6.81885,7.26163,7.76998,10.4566,9.20228,10.436,12.1494,11.4544
Brazil,26.3185,26.386,26.6407,24.3846,23.9006,25.2254,25.1841,25.6884,24.6137,25.0816,26.1826,27.343,29.1942,29.5604,31.3702,33.7657,35.2621,36.6758,39.906,41.374,41.8432,41.5825,41.2322,42.2441,42.6853,43.2668,43.7013,44.0174,44.217,43.9321,43.3731,42.8344,42.1475,42.0326,41.7856,40.9391,37.1808,38.8193,40.4493,40.4441,41.2698,41.1465,42.2847,41.3893,44.157,42.5053,42.3777,40.2594,38.4065,37.5664,38.7081,41.5358,41.2936,44.1265,45.178,47.1158,43.6733,47.6599,48.9499,49.616
Bulgaria,4.64639,4.355,3.77012,2.17452,2.75029,2.86055,2.77002,2.59863,3.069,2.4114,2.57399,2.92871,3.32137,2.64288,2.89867,3.07916,3.04692,2.50704,2.73865,2.67834,1.85106,1.88647,2.0421,2.04312,2.13611,1.40075,2.41006,2.1483,1.89139,1.42635,2.22641,2.9678,2.9604,3.46853,3.51627,3.38631,2.04363,2.68116,3.64609,3.93118,4.93746,4.73823,3.30677,3.39123,4.84561,7.25759,4.61848,6.86064,9.69358,9.6336,10.787,9.37014,8.07308,12.0961,10.3802,11.1219,13.2314,12.0261,14.2876,16.4246
CIS (EI),3.27731,3.47516,3.189,3.61187,3.82234,3.93169,3.79931,3.52312,3.33601,3.41173,3.10195,3.2169,3.33502,3.69072,3.6415,3.80893,3.78649,3.45521,3.49422,3.79049,4.51427,4.43931,4.34929,4.43327,4.30232,4.61824,4.71184,5.04224,5.61656,6.26161,6.47867,6.04037,6.37017,6.40638,6.49207,6.57258,6.68867,6.3469,6.1408,6.58099,6.452,6.14117,6.18432,5.59405,6.11978,5.80053,5.42936,5.32253,5.78848,5.50123,5.48002,5.82565,5.85733,5.70349,5.83868,6.40692,6.27756,5.78746,5.85702,6.15639
Canada,23.9806,25.0043,24.4377,23.3377,24.3516,23.8712,23.7794,24.7174,24.3918,25.6125,24.9752,25.1512,24.6492,25.8658,26.0998,26.3367,28.155,28.1677,29.2309,29.5798,30.3202,30.752,30.3678,28.3786,26.6311,28.2516,29.2523,29.262,29.2092,28.7054,28.6641,29.6285,29.0442,28.09,28.3635,28.5362,27.032,27.3349,26.0204,25.7003,27.0425,27.2076,26.53,27.374,27.9932,26.5665,27.4194,27.8629,27.7449,27.0257,27.7334,28.4597,28.6496,27.6639,27.4069,29.4573,29.1131,29.4967,27.8578,27.1566
Central America (EI),8.63209,9.16917,9.88359,10.5262,11.1056,12.0083,12.0811,12.2465,11.7684,12.4191,11.3315,12.7139,11.9485,14.8333,16.6058,19.4489,21.6866,21.5187,22.7951,24.8018,25.8535,28.5083,27.8482,29.5934,30.6467,30.9483,28.807,26.2716,26.6139,24.3026,22.3743,24.9622,23.2105,20.6287,24.1333,24.4109,21.7691,22.5005,22.4827,22.9297,24.2069,24.1021,23.4812,24.7935,24.6456,26.4563,25.773,26.9556,26.6867,26.6865,26.2044,26.2717,27.9625,28.6097,24.9578,31.8928,31.0282,30.3908,26.6688,27.3449
Chile,15.3133,15.0501,15.0709,12.6602,13.2634,13.4468,14.0941,16.4376,16.5735,18.8023,20.8962,20.858,21.0562,21.1018,20.5238,21.0234,21.6583,25.4374,26.6065,26.5513,29.0626,30.1145,31.0308,27.3159,20.7587,18.0807,23.0184,27.1866,26.3802,24.8511,24.9208,21.5497,20.9214,17.1961,14.538,18.8561,21.0608,21.8341,21.012,18.554,21.0828,21.9146,18.5723,20.6472,21.9759,18.9415,17.6717,17.9755,18.0244,19.5193,21.0001,19.3412,21.4263,23.4264,22.5409,24.8737,23.4211,26.0793,30.347,32.2544
China,4.00595,3.75078,3.5953,4.19999,3.50943,2.83236,2.8897,3.03793,3.21658,3.53014,3.29848,3.17466,3.03898,2.59657,2.83171,3.35732,3.82948,4.16447,4.54444,4.25343,4.18389,4.08633,4.00797,4.07174,4.20863,4.45045,4.1681,4.15692,4.483,4.66764,5.23907,4.84893,5.0569,5.11907,4.89257,5.33569,6.25141,5.92187,5.00134,5.28943,5.23874,5.26676,5.40653,6.87242,6.55985,7.1947,6.69676,8.06756,8.47383,9.68968,10.2776,11.1131,11.6656,12.2244,12.786,13.3957,14.195,15.218,15.5053,17.4724
Colombia,10.1448,10.0133,10.5952,11.3778,12.5037,12.7037,13.6349,13.0958,14.7517,14.9753,17.9524,18.1022,17.8761,19.64,20.7289,21.7084,21.1072,21.9322,20.9881,23.1299,24.0867,26.5739,26.4741,27.9576,28.9798,31.2011,30.6306,23.8016,27.3688,29.116,28.4156,30.151,26.4318,25.5646,29.9999,28.2393,28.5721,30.4391,31.6404,31.6894,32.7826,30.936,31.46,31.2667,28.7709,27.4038,31.3707,29.0231,26.2668,25.3077,25.5446,24.3625,28.7872,27.9082,26.7538,27.1107,29.6658,28.3839,27.398,26.0929
