Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Indonesia,6.02221,7.8977,8.98147,10.4123,9.64321,10.9462,3.76779,3.17585,3.55376,3.67448,3.14594,1.75606,2.20868,1.40155,1.36923,1.15371,1.07229,1.14733,1.62909,1.61565,1.86304,2.81089,2.73963,2.85065,3.20819,3.59692,3.66105,4.21919,3.68624,3.40401,3.44485,3.41475,2.45149,3.92677,3.78801,3.69895,4.09585,3.64672,3.19532,3.41548,3.4937,3.23363,3.37397,3.61976,3.73594,4.41732,3.5536,3.5767,4.53377,4.70763,4.00309,5.80976,5.51773,8.02904,8.61293,10.6435,11.076,10.2078,10.6952,10.9542
Iran,4.924,4.85443,4.75021,4.64673,4.55731,4.15883,4.08069,4.72915,3.34931,3.253,2.93085,2.91312,2.65835,4.26339,3.42155,3.82781,4.16508,3.87172,3.18965,2.75898,2.54884,3.25299,3.36419,3.48055,2.59806,2.53133,1.77145,2.63093,3.25505,1.90128,2.1884,2.13028,1.39256,1.68535,1.08093,0.759674,0.769729,1.35598,1.58358,1.7741,2.01415,2.35347,2.13858,0.867441,0.767222,1.10607,1.10876,1.28413,1.42331,1.34901,1.23023,1.34434,1.46221,0.864344,2.6407,1.80233,1.13962,1.11193,1.67955,1.43262
Iraq,0.854279,1.01674,1.15082,1.30906,1.2494,1.22365,1.29732,1.10741,1.63367,2.30176,2.42729,1.92135,2.26357,2.67056,3.10972,1.89361,1.79076,1.7005,1.48026,1.35809,1.18383,1.01084,3.71938,3.2108,2.82724,5.45338,3.98235,6.11391,5.43012,4.86247,5.56449,5.06452,4.34859,5.43725,4.32465,2.75723,2.84195,3.65597,4.27419,4.79427,4.27944,4.46632,4.02943,2.23995,2.19123,2.40376,2.1771,2.57212,2.45642,1.5439,1.39966,1.7088,0.933533,0.877061,1.98172,1.88668,1.48388,1.09452,0.598087,0.584281
Ireland,3.87699,3.11721,2.71754,2.22809,1.68179,2.94619,1.643,2.29631,2.03634,2.475,1.75042,1.94357,2.28889,2.06235,2.21317,2.31964,2.44347,2.29462,2.26084,2.01198,2.34033,2.37766,1.75515,2.24256,1.7408,1.6441,1.69399,1.85831,1.72662,1.99465,1.51697,1.51086,1.56285,2.09421,1.90749,1.92023,1.56964,2.10639,1.77484,2.12253,2.71616,3.45134,3.9341,5.20251,6.70378,6.1491,9.03167,8.861,9.64754,10.9377,12.506,11.5372,13.6925,15.142,17.3902,20.8191,17.7986,19.4202,21.8195,22.1803
Israel,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00590038,0.00546037,0.00272848,0.005244,0.00565436,0.0161261,0.0250628,0.0233842,0.00670555,0.00645321,0.0126958,0.0525849,0.0434128,0.0368098,0.0355753,0.0329556,0.0313932,0.0298315,0.0379941,0.0378734,0.0243162,0.0884002,0.099254,0.0939794,0.11717,0.067736,0.0599194,0.0687278,0.148859,0.221599,0.352627,0.501682,0.583445,0.987409,1.26942,1.74573,1.75019,1.89044,2.90273,4.02403,4.88874,5.38734,7.82987,9.79484
Italy,13.7614,13.1791,11.8418,11.0709,9.99481,8.9839,8.28093,8.22419,7.22236,7.34959,8.02874,7.26312,9.22829,8.09688,7.92457,8.04394,7.75854,7.6608,7.79805,7.85619,7.54812,7.3845,6.94972,6.98365,5.77152,4.5676,6.1246,6.1287,6.15436,6.57399,5.38605,5.98337,5.92822,5.95878,6.54303,6.85282,7.29496,6.45259,6.05958,6.89304,6.1606,6.42709,6.17299,7.80282,10.1266,10.9207,11.9124,13.4991,16.9598,18.5167,16.6599,16.4119,15.6747,17.0592,17.4122,19.3994,18.0139,15.9511,18.8538,20.9306
Japan,11.6217,10.6759,8.20838,7.98211,7.01863,6.17323,6.57904,6.20965,4.43875,5.55068,5.6607,5.44252,4.78591,4.52039,5.12854,5.81252,5.86429,6.31237,6.3969,5.44398,6.05629,6.01371,5.46763,6.13787,6.12254,5.36783,5.59955,4.80495,5.3479,3.88725,4.48332,4.37095,4.77299,4.96142,4.66413,4.60254,4.50825,4.5137,5.09841,5.02281,4.52029,5.01063,4.49893,4.56085,4.75556,5.40429,5.44695,5.37916,5.82896,6.60449,7.68523,7.593,8.0285,8.64989,8.87098,10.4575,10.8141,11.1542,11.9651,12.697
Kazakhstan,1.82036,1.633,1.91471,2.25377,2.38811,2.38445,2.33314,2.25382,2.83782,3.83559,3.87491,3.91701,3.93825,3.94963,4.19683,5.67853,5.3821,5.7665,5.07366,4.4628,4.19637,3.83174,3.61296,3.10381,3.17961,3.42571,2.94843,2.70254,2.70919,2.74334,3.77029,4.24565,3.81538,3.4451,3.44711,4.0142,3.77967,3.99513,4.17865,5.11987,,,,,,,,,,,,,,,,,,,,
Kuwait,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.000103765,0.00190767,0.00274951,0.0263224,0.0284882,0.0284528,0.034755,0.0373401,0.111312,0.0928032,0.0838698,0.0756297
Latvia,7.82385,8.48561,11.4857,9.86225,11.8702,14.555,11.5022,12.3178,16.3196,19.4006,18.4074,12.4833,19.7793,26.6605,19.9632,20.8909,19.3821,16.6682,15.7831,19.121,19.7304,16.8841,16.497,18.4944,21.616,19.8872,18.8599,24.0229,21.7309,18.9583,18.6632,21.1343,29.6069,22.3867,19.8941,24.8937,24.165,26.6459,31.7764,29.6691,,,,,,,,,,,,,,,,,,,,
Lithuania,0.606795,0.643116,0.578348,0.585264,0.540746,0.589822,0.45692,0.662367,1.06386,1.41775,1.05086,0.843085,0.82221,1.08301,1.31412,1.20934,1.00998,1.00999,0.896301,1.14371,1.36321,1.5711,2.22057,2.40341,2.73678,4.49444,5.08931,5.6542,7.55623,7.88527,8.30786,9.4684,10.8921,9.53297,10.4356,11.3563,12.011,14.3821,18.7191,23.4139,,,,,,,,,,,,,,,,,,,,
Lower-middle-income countries,8.11966,7.8678,8.37571,9.10069,9.53118,10.018,10.7075,10.1586,10.2644,9.87924,10.7056,11.0657,11.3447,13.2395,12.3797,12.4846,12.3049,10.966,10.3842,10.9043,9.2082,8.72838,8.24343,8.48398,8.75525,8.68599,8.93763,8.45923,8.50424,8.94102,8.24698,7.84993,7.23011,7.88842,7.79413,7.17819,6.99615,6.62123,6.74487,7.54831,7.13358,7.74022,7.76328,7.27385,6.88753,6.84923,7.55478,6.82464,7.74959,7.71621,7.22956,7.29292,7.79745,7.98927,8.30564,9.23319,9.35532,10.1537,9.64025,9.94872
Luxembourg,0.574399,0.539409,0.618144,0.583732,0.471961,0.502422,0.295317,0.33771,0.28125,0.409123,0.425528,0.267663,0.655649,0.619579,0.655221,0.735494,0.9379,0.909058,0.950944,0.948245,0.773411,0.926432,1.16313,1.07138,0.723574,0.628799,0.694035,0.577638,0.572263,0.733484,0.900302,0.616099,0.85455,1.22357,0.990293,1.29588,1.18628,0.975445,0.871749,1.0565,1.10837,1.32132,2.48396,2.58451,2.55448,2.42786,2.49068,2.90206,3.55128,4.24203,4.90307,5.29694,6.52632,6.9643,7.71818,10.6048,9.92776,11.0347,12.5722,14.2784
Malaysia,4.94389,5.03879,4.91526,5.27244,6.06349,7.58018,5.89903,5.84259,5.32226,4.76477,4.61478,3.89662,2.7001,2.38101,2.52867,3.08831,3.31114,2.97534,3.01664,5.5323,6.09741,6.07505,7.10468,7.79646,6.43342,4.64454,4.09635,3.49661,3.93688,4.9559,4.34287,3.2412,2.24776,2.49779,3.96476,3.47155,2.96441,2.44193,2.12355,2.18984,2.15476,2.24248,2.06321,2.52697,2.48783,2.2016,2.70347,2.87666,3.32761,3.6789,3.84898,4.96074,6.31181,6.33173,6.43076,7.17484,7.64554,7.8326,8.11664,8.2818
Mexico,8.43892,9.10243,9.72829,10.2531,9.90331,10.3853,9.58694,9.24208,9.13021,8.62586,7.38452,7.88326,8.28989,6.25734,6.41734,5.51505,7.15427,6.50866,6.00589,6.50079,7.44334,6.35488,5.93773,6.57407,7.04767,6.38464,5.98439,6.83609,6.82849,5.18147,6.73938,7.22658,6.07487,5.5741,6.89965,6.66458,5.90959,5.12488,4.41045,4.98939,5.00469,5.17759,4.8455,6.04278,4.55876,5.95263,5.60227,5.19353,4.83402,6.42619,5.86166,5.73122,5.77011,6.34258,6.64105,8.66819,9.53789,9.2428,7.92767,8.25097
Middle Africa (EI),29.2978,29.6431,28.0473,28.1517,29.2185,31.1041,29.1684,28.805,27.8896,26.6814,30.9494,30.4416,29.3964,26.4693,26.9163,27.0865,26.9667,28.9603,27.5982,30.3894,30.69,32.0178,31.3867,30.3133,34.352,33.2892,34.1921,36.1725,34.3508,33.7673,36.2486,36.273,33.9505,34.4676,34.439,34.568,34.3498,32.6121,31.2521,29.7189,31.2967,31.462,27.9244,27.0408,25.2079,23.5213,22.7607,20.2072,20.3878,20.9812,20.9653,21.6957,24.3749,26.3608,27.0407,31.0665,28.8749,28.16,29.6393,29.9081
Middle East (EI),1.2104,1.2634,1.32796,1.36993,1.4258,1.40849,1.37332,1.55216,1.15547,1.39431,1.58519,1.63486,1.61169,2.10281,1.76178,1.83831,1.78349,1.67892,1.47211,1.32242,1.25726,1.27165,1.50035,1.45695,1.22139,1.42006,0.988686,1.45943,1.59676,1.1861,1.29652,1.26035,1.02153,1.07493,0.725682,0.626331,0.641929,0.870691,0.916694,1.04941,1.0194,1.13687,1.02282,0.489796,0.429428,0.564924,0.573767,0.649817,0.690057,0.586025,0.497926,0.598739,0.629508,0.503426,1.27762,1.14754,0.974467,1.05755,1.49786,1.57735
Morocco,19.2061,12.6218,10.5787,11.1904,13.211,12.4076,13.1913,12.8116,8.59079,9.01625,6.73111,6.0981,7.44254,7.27271,7.2853,6.95546,4.84023,2.6199,2.14516,1.61022,2.07005,2.64923,3.30129,3.54614,3.98549,4.1059,4.07441,2.86067,1.29961,2.23705,1.65838,5.09176,5.21363,4.33398,1.93644,1.85149,2.32844,2.18493,3.44282,3.27256,1.95379,1.89531,1.92662,1.78045,4.43129,5.53239,3.42098,2.92268,4.79597,4.18678,5.07152,5.25784,4.97195,6.69891,7.10961,7.1415,7.12645,6.61561,7.97416,8.67347
Netherlands,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.305057,0.303745,0.307522,0.421021,0.372204,0.367025,0.410086,0.10837,0.0940141,0.0066644,0.168549,0.201452,0.249903,0.300803,0.335436,0.272986,0.310104,0.32962,0.363242,0.413615,0.441821,0.546304,0.616163,0.703063,0.769716,0.895477,0.957701,1.14999,1.1243,1.45218,2.01344,2.23991,2.341,2.81652,3.32309,3.03869,3.54562,3.67023,3.61031,3.65127,4.03119,4.13872,4.79466,5.50514,6.70858,9.73489,11.4829,14.4168,16.6303,18.1193
New Zealand,38.2323,38.4951,38.7177,40.0604,39.0581,37.7019,40.4376,39.9863,37.9842,39.8145,42.6402,38.5242,35.8639,38.3423,43.5816,45.7172,46.1939,41.8549,43.1917,42.2045,40.3656,41.7111,40.9444,41.0095,40.2586,40.2727,39.2926,36.4017,39.0937,40.0723,40.821,38.3326,34.5846,37.698,34.5796,35.3639,31.7667,34.1394,33.3655,36.9903,33.7873,34.0471,34.7012,33.8356,37.3617,38.3114,39.1868,36.6962,36.7689,37.4523,38.1431,38.8171,37.0854,38.0975,36.8997,39.2753,40.3165,43.2949,42.2646,42.5544
Non-OECD (EI),4.55217,4.68093,4.56712,4.96752,5.07945,5.20248,5.13149,5.10977,5.02924,5.2869,5.19995,5.29662,5.45528,5.70564,5.81788,6.1357,6.19337,6.03578,6.10484,6.34915,6.52858,6.60248,6.51369,6.61585,6.65269,6.73851,6.9525,7.03302,7.43264,7.80976,7.99281,7.81395,7.88208,8.16933,8.08018,8.0559,7.95582,7.76838,7.35878,7.54199,7.44729,7.42044,7.43332,7.76926,7.8009,8.01507,7.80006,8.14219,8.56857,8.96872,9.09986,9.58952,9.9314,10.4123,10.8424,11.5997,11.884,12.5504,12.8143,13.7836
North America,5.87331,5.81989,6.10623,5.85884,6.17938,6.03115,6.22257,6.26413,6.15818,6.82208,6.84026,6.50259,5.71094,6.41094,6.45821,6.68369,6.93836,7.66289,8.10352,7.92697,7.71225,7.83607,7.24155,6.6102,6.89932,7.29634,7.39306,7.09567,7.33724,6.97862,7.44529,7.77011,7.70729,7.19857,7.27201,6.83995,6.158,6.65238,6.60407,6.53739,6.78415,7.09955,6.89204,7.58906,8.19338,8.12783,9.08724,9.18911,9.34792,9.45292,9.69477,10.3593,11.0274,10.8451,11.0663,12.4782,12.4111,13.0362,12.9648,13.5617
North America (EI),5.89575,5.84008,6.13293,5.87858,6.20259,6.05811,6.23221,6.28301,6.18127,6.85416,6.87166,6.51612,5.71255,6.41342,6.45137,6.67186,6.9238,7.65629,8.09219,7.90686,7.67224,7.78152,7.17374,6.52271,6.82471,7.22227,7.3245,7.03176,7.28215,6.93569,7.4168,7.73558,7.68386,7.16995,7.21286,6.79011,6.11504,6.61941,6.5679,6.49478,6.74525,7.08116,6.87297,7.56888,8.18659,8.10324,9.09081,9.1676,9.32211,9.43306,9.67418,10.3429,10.9972,10.7981,11.0565,12.4246,12.3424,12.9887,12.9559,13.5592
North Macedonia,4.61216,8.04069,7.82967,4.80356,6.81759,7.80494,7.12724,8.37455,8.91889,11.962,10.6077,5.98061,7.34776,11.7974,12.8222,12.4085,13.4092,8.21249,7.04867,10.8495,18.9233,11.0845,8.63599,13.6828,11.8569,17.6729,17.2407,11.2006,16.3508,10.9027,13.3962,14.3481,13.0529,16.8328,16.0374,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,66.5019,63.9711,65.1866,65.7434,62.4259,60.0197,62.5132,62.8481,64.1576,66.9456,66.598,65.9437,62.8204,62.7285,64.4454,63.8217,67.2357,67.8124,70.6015,69.8359,68.1887,65.5804,67.0657,68.6505,70.1498,71.5579,70.179,71.0263,70.7553,68.2965,69.4287,64.5317,65.0029,65.8986,67.1449,70.793,66.9976,68.324,62.6504,63.4129,68.6845,65.6619,67.7977,69.3173,67.6275,64.6295,65.6239,69.2023,66.8734,67.9143,67.6757,69.0462,68.8943,68.1316,66.7414,70.9629,71.3054,69.6484,70.758,71.812
OECD (EI),6.72815,6.77695,6.69709,6.47641,6.35065,6.18477,6.27921,6.23161,5.92769,6.58787,6.71482,6.18053,6.10008,6.34891,6.46222,6.6134,6.87104,7.31068,7.61723,7.38256,7.20281,7.12349,6.96006,6.83016,6.61303,6.83784,6.89121,6.80901,7.12221,6.82614,7.08537,7.02571,7.13164,7.00643,7.01198,6.97793,6.61034,6.7428,6.66542,6.81668,6.95878,7.25971,7.33307,7.94468,8.56597,8.77808,9.46502,10.0101,10.4008,10.7535,11.2158,11.5803,11.9914,12.3201,12.8357,14.6212,14.3924,15.0292,15.8568,16.6237
Oceania,10.6908,10.4076,10.1086,10.0874,10.0078,10.1525,10.874,10.7177,10.2827,10.6493,11.3291,10.321,9.40502,9.78161,10.1037,10.1303,10.1855,9.56333,9.79807,9.9246,9.68227,10.0957,9.70186,9.77362,9.3821,9.5031,9.7003,9.20559,9.65191,9.6917,9.69314,9.24777,8.51751,8.79139,8.19958,8.43642,7.76112,8.20005,7.99672,8.51986,8.19935,8.05115,7.83819,7.43356,8.13253,8.67946,9.82286,9.59183,10.2569,10.0536,10.3475,11.195,10.6764,12.0162,12.2918,14.1239,15.9409,16.9764,17.8863,18.183
Oman,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.000966267,0.000966374,0.00277606,0.00311322,0.0110539,0.0103947,0.0167412,0.10925,0.496417,1.13596,1.14162,1.11518
Other Asia Pacific (EI),14.007,13.2263,12.489,11.6621,11.1041,10.4526,9.79395,9.63536,9.50054,9.1027,9.31995,9.11148,8.81479,8.63297,8.58287,8.13347,7.99321,7.94006,7.77769,7.71162,8.13438,8.4745,9.22868,10.0512,10.5956,11.2739,11.3025,11.9223,12.1927,13.3569,13.785,14.0806,12.7646,13.1587,13.2758,13.5602,13.6883,14.1625,14.1114,14.3624,14.5961,14.9989,17.0898,17.4182,17.1294,18.5226,21.6085,21.2044,24.9028,22.6864,20.3007,22.4295,19.3813,19.9148,17.5753,19.5325,22.482,24.1121,23.2188,24.5488
Other CIS (EI),16.5185,15.9749,15.7372,19.4667,18.0491,19.5865,23.1907,27.5629,37.5329,47.09,46.7569,45.0614,43.2333,42.6616,50.1672,52.0959,50.343,50.1941,53.692,51.0751,49.2718,47.7805,45.2512,40.4117,40.9268,43.1576,43.8135,42.4116,42.8623,40.2479,38.1868,38.0271,40.1695,38.2751,40.0721,38.3353,37.6282,37.2134,38.3025,38.9544,,,,,,,,,,,,,,,,,,,,
Other Caribbean (EI),4.5807,4.56058,4.34877,4.3376,4.32302,3.90088,5.3357,5.0097,4.64037,4.74364,4.70052,5.10718,4.9758,5.13867,5.24309,5.25107,5.33192,5.83719,6.37326,6.12634,6.67782,7.03071,6.98269,7.32231,6.20878,6.54217,6.55191,6.08269,5.26511,4.50619,4.65237,4.84538,4.46123,4.61326,5.25744,4.00153,3.53083,3.52882,3.60275,3.65816,3.50243,2.88569,2.40291,2.45074,2.68113,2.61312,2.79762,3.22466,3.73143,3.23369,3.03567,3.29152,3.99955,3.87456,4.07557,4.9053,5.22256,5.2935,5.26005,5.39852
Other Europe (EI),14.2509,14.9058,15.8781,15.9242,18.5387,16.8545,15.4728,17.1304,15.1642,17.1149,16.1675,16.279,17.931,17.121,16.736,18.4952,16.7667,15.1471,13.202,14.4821,12.972,14.0624,14.3076,13.8855,13.1745,12.1647,16.8877,16.6928,17.7054,23.3295,22.855,26.0991,21.9913,21.8447,25.5124,21.4928,19.8516,18.7672,17.5812,18.667,19.1963,17.4059,14.9465,15.9122,18.1072,21.6498,14.5663,15.8676,19.2696,19.0295,17.6328,18.289,14.8228,19.1588,16.8483,16.1678,20.2568,17.2479,20.7815,19.3457
Other Middle East (EI),2.54638,2.69586,3.18678,3.29106,3.68916,3.24762,2.90368,2.85708,1.40041,2.89677,3.65063,4.32743,4.95443,5.10149,4.9671,5.23389,5.10993,4.50277,3.91739,4.22223,4.0262,3.4553,3.38033,3.22349,3.02234,2.79862,2.63986,2.63091,2.51065,2.43704,2.19046,2.25246,2.10324,2.01795,1.74112,2.09015,2.06632,2.20995,2.05045,2.57984,1.96803,1.98324,1.69865,1.27516,0.968544,1.31518,1.6274,1.88394,1.83472,1.10437,0.571788,1.13806,1.25679,1.69921,2.43564,3.05079,3.50154,4.2213,4.52701,4.9038
Other Northern Africa (EI),0.532098,0.322547,0.418612,0.33619,0.373056,0.346853,0.475795,0.403276,0.408364,0.116913,0.148178,0.214128,0.106628,0.0891993,0.0973937,0.0530504,0.0625455,0.0831222,0.0595337,0.135504,0.19556,0.0911423,0.17881,0.0731979,0.049137,0.0652238,0.156215,0.097629,0.0905879,0.051844,0.047924,0.0803641,0.05076,0.0808513,0.100792,0.090431,0.0788587,0.0951908,0.193581,0.177033,0.164026,0.113261,0.0831725,0.0676848,0.140559,0.146223,0.176774,0.27316,0.347651,0.48322,0.50146,0.522684,0.444762,0.468158,0.577529,0.672345,0.444331,0.417714,0.504451,0.576997
Other South America (EI),7.46704,14.7538,14.8861,15.3928,14.9959,16.6873,19.1936,16.8142,18.5056,18.8362,17.0078,15.9344,16.8189,15.3851,14.6231,21.1189,18.6963,21.0126,26.9246,28.9661,35.8584,50.9943,56.9903,55.7307,58.3971,63.0484,62.6532,61.0624,62.4084,63.9167,63.2836,63.5248,66.4848,66.7985,63.8554,67.4933,66.4822,67.4665,67.0733,64.1475,63.4793,62.5469,62.0767,58.8788,58.0555,58.6492,57.0435,57.1027,57.3719,55.9148,55.9884,57.2346,55.5055,54.5819,51.7809,52.3837,47.3477,47.8091,49.2288,44.7221
Other Southern Africa (EI),5.04611,3.91922,4.8121,5.4705,8.39326,12.2161,11.607,12.9063,12.1142,10.4552,8.4401,8.70126,6.82486,40.1658,37.665,36.843,36.6398,35.413,36.8258,37.3146,35.9608,32.8768,32.8545,30.4749,28.2871,14.929,16.6612,14.0631,13.2249,10.0787,13.9451,12.099,9.49515,11.7377,15.377,15.9668,14.6389,16.0503,15.6497,14.8684,16.3806,15.8578,15.6946,13.8869,13.9033,15.3609,15.2828,14.5833,12.7972,12.8085,12.2556,10.8127,11.8239,10.0346,10.1966,14.2826,11.5633,10.8207,13.3855,15.2342
Pakistan,7.4559,7.40017,7.92371,8.39187,8.81415,7.92216,10.9424,12.5532,12.3958,11.4965,12.6101,13.4891,14.8164,17.203,17.0593,16.1195,15.652,15.9732,17.3222,16.9622,16.764,15.1081,17.7367,17.4991,16.7596,15.6937,15.8509,16.4681,16.3623,15.512,15.541,15.9093,12.2132,14.8978,12.7134,10.7534,10.8294,11.5509,12.7837,12.1149,12.9797,11.9955,11.8398,10.1051,10.1937,10.4359,10.6061,3.98879,10.5592,10.7331,10.4072,10.2857,8.97514,8.87948,10.4383,11.4684,9.92748,10.5707,12.266,12.507
Peru,13.3703,11.7842,12.9793,13.6833,14.797,13.6979,16.8122,19.4065,18.3472,17.4705,17.2844,17.8412,18.371,18.8134,19.4016,18.6931,20.2462,21.326,23.5723,23.9657,26.3562,26.1576,25.8195,25.4761,27.9452,28.0653,31.0699,26.8966,29.8791,29.6885,27.7735,27.7244,28.0912,28.3767,29.1581,31.4502,34.3921,34.2932,35.5189,31.1517,30.8267,33.532,30.6455,27.6062,28.4694,25.5133,24.656,24.8273,24.9908,24.7717,24.8901,23.5597,27.6236,28.247,28.051,31.1132,28.6084,26.155,25.5621,26.6562
Philippines,6.91954,6.15028,6.25326,5.46993,5.35713,6.06401,5.20986,5.61191,5.4199,5.01608,5.10687,6.05523,4.26608,5.42474,6.63261,10.906,15.2406,15.3486,17.1361,22.3431,25.0267,24.8202,20.0086,20.495,19.718,18.7625,17.4447,15.1528,14.5364,15.8695,14.0802,14.3869,13.0176,13.8964,17.887,18.7288,17.2574,16.848,16.6119,17.238,16.6533,19.3182,17.3412,18.3523,17.9173,15.6667,16.8741,17.1768,15.4927,14.8035,14.3747,13.7982,13.1611,12.8306,11.9737,12.8268,12.9478,13.0319,12.9219,12.8184
Poland,0.33125,0.329657,0.343416,0.33538,0.268454,0.51679,0.458746,0.4423,0.433081,0.586175,0.507186,0.400036,0.467464,0.44337,0.404047,0.488231,0.502699,0.373461,0.419421,0.348011,0.435519,0.36172,0.335214,0.345499,0.326111,0.339483,0.356255,0.400398,0.382118,0.459269,0.492053,0.496695,0.519096,0.644382,0.609832,0.644412,0.777099,0.775207,0.642295,0.849453,1.08812,1.203,1.51453,2.15382,2.9232,3.37934,3.95925,5.12995,5.05154,5.92224,6.38676,5.87788,5.92354,5.621,6.71037,7.66329,7.59872,9.36989,11.7518,13.0453
Portugal,23.8041,28.5098,27.5991,25.8734,29.1202,22.0276,21.0518,22.0788,20.8892,21.2311,17.717,13.4955,24.3024,24.9873,24.4701,18.2681,11.8793,14.9917,16.7985,19.3967,21.1291,16.1803,16.9331,20.1455,9.38095,13.7358,13.2476,7.33916,12.1606,14.3336,10.8683,17.7096,15.714,14.3224,8.61942,12.4093,14.8578,9.23266,16.1571,11.4745,7.70113,14.8077,15.4353,14.5534,18.133,26.4015,23.6596,20.9652,28.2021,29.7609,23.685,28.2677,20.6057,26.2005,25.3665,30.6349,32.1967,28.7532,34.6695,39.7408
Qatar,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0083046,0.00727736,0.0513918,0.0647229,0.0653996,0.0690002,0.0751449,0.0769517,0.0663235,0.085831,0.0809046,0.192328,0.815896,0.810713
Romania,1.00225,0.967738,1.23692,1.23019,1.51902,1.78506,2.72765,4.23214,3.99715,4.45938,4.51568,3.62696,3.94344,4.15931,4.35776,4.81136,4.83801,4.54083,3.87051,4.40035,4.95546,4.12387,4.1234,5.34094,4.93418,4.32414,6.51661,5.92556,6.65557,7.21153,8.40314,7.9789,9.36215,11.0442,12.1666,9.83569,9.76451,10.0369,8.23863,9.8142,11.9013,10.5777,9.61209,10.3168,10.621,13.8304,10.9974,10.4044,14.5073,17.5132,18.196,18.8674,16.7483,17.7734,17.2974,18.1171,18.1531,17.7831,20.9083,19.1118
Russia,4.66025,4.71141,4.51193,4.39056,4.34172,4.61855,4.71785,5.03355,5.45361,6.03469,6.39026,5.81125,6.27114,6.32527,6.32568,6.35399,6.5946,6.12702,5.73805,6.38721,6.235,5.96169,6.02533,5.53906,6.13006,5.59735,5.2735,5.2257,5.81612,5.53141,5.42264,5.80734,5.76899,5.70892,5.85523,6.67878,6.5864,5.92047,5.91332,5.99939,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,7.55E-05,7.25E-05,0.000434434,0.000546239,0.0024344,0.00397742,0.00398217,0.0038001,0.00362531,0.00548855,0.0131776,0.0177202,0.078363,0.0825921,0.156793,0.3593,0.728392
Singapore,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.161229,0.153336,0.132532,0.116231,0.0972637,0.275109,0.25643,0.234714,0.205224,0.196857,0.195083,0.185478,0.182948,0.184795,0.172828,0.295218,0.306532,0.340541,0.291511,0.275266,0.24725,0.237878,0.235828,0.22256,0.232692,0.231021,0.241537,0.265392,0.277318,0.292003,0.28383,0.27671,0.273679,0.29326,0.314116,0.337692,0.521348,0.493122,0.545238
Slovakia,5.8014,5.36932,4.57433,3.80165,2.83185,3.86393,2.70349,2.69263,2.21264,3.53847,3.04359,2.95877,3.35785,3.00175,2.43382,2.87093,2.52032,2.23663,2.36754,1.86516,2.46329,1.96657,2.21833,2.00476,2.21007,2.11171,1.76783,2.52923,4.61524,5.89216,6.5111,5.59732,5.48186,5.69638,5.92623,5.923,6.47955,6.65793,4.49883,5.2485,5.65827,6.17739,6.84367,6.2378,7.41049,8.3138,7.50985,8.34884,9.31509,10.1756,9.93064,10.5769,9.896,9.04691,10.5488,11.0393,10.2135,9.67248,10.5529,11.2953
